Case Type,Date,Total Number Of Cases
Covid,2020-07-01,79
Covid,2020-07-02,56
Covid,2020-07-03,29
Covid,2020-07-04,45
Covid,2020-07-05,32
Covid,2020-07-06,28
Covid,2020-07-07,41
Covid,2020-07-08,39
Covid,2020-07-09,50
Covid,2020-07-10,28
Covid,2020-07-11,31
Covid,2020-07-12,21
Covid,2020-07-13,30
Covid,2020-07-14,34
Covid,2020-07-15,34
Covid,2020-07-16,42
Covid,2020-07-17,26
Covid,2020-07-18,34
Covid,2020-07-19,26
Covid,2020-07-20,27
Covid,2020-07-21,20
Covid,2020-07-22,14
Covid,2020-07-23,35
Covid,2020-07-24,25
Covid,2020-07-25,17
Covid,2020-07-26,13
Covid,2020-07-27,12
Covid,2020-07-28,15
Covid,2020-07-29,15
Covid,2020-07-30,16
Hospitalizations,2020-07-01,41
Hospitalizations,2020-07-02,42
Hospitalizations,2020-07-03,45
Hospitalizations,2020-07-05,42
Hospitalizations,2020-07-06,42
Hospitalizations,2020-07-07,41
Hospitalizations,2020-07-08,41
Hospitalizations,2020-07-09,43
Hospitalizations,2020-07-10,42
Hospitalizations,2020-07-11,45
